donor_id,first_name,last_name,email,city,total_donations,avg_donation_amount,donation_frequency,days_since_last_donation,donation_consistency,largest_donation,smallest_donation,campaigns_participated,volunteer_hours,referrals,will_donate_again
DON846352,Nancy,Hill,nancy.hill24@icloud.com,San Diego,3,65.63,3.0,355,0.22,145.67,27.25,2,14,8,0
DON451884,Kimberly,Hernandez,kimberly.hernandez53@yahoo.com,Phoenix,4,79.52,4.0,326,0.5,144.45,49.32,10,30,8,1
DON249828,Sandra,Jones,sandra_jones18@email.com,Portland,17,834.02,17.0,20,0.95,1318.41,447.81,0,0,6,1
DON524755,Sandra,Harris,sandra_harris93@hotmail.com,Jacksonville,5,39.48,5.0,242,0.53,104.0,14.83,8,89,1,0
DON790285,Timothy,Wright,timothywright66@email.com,Jacksonville,5,61.49,5.0,37,0.74,95.83,32.05,1,19,2,1
DON475679,Jessica,Johnson,jessica_johnson49@gmail.com,Austin,41,596.98,41.0,29,0.98,1079.49,304.06,5,44,5,1
DON950799,Emily,Young,emily.young83@icloud.com,Phoenix,2,63.45,2.0,26,0.06,106.87,37.05,4,13,8,1
DON119891,Donald,Martinez,donaldmartinez18@email.com,Jacksonville,2,164.78,2.0,291,0.45,484.13,75.15,3,87,2,1
DON171172,David,Martinez,david_martinez58@yahoo.com,Seattle,1,29.86,0.84,435,0.04,87.69,11.6,2,87,10,0
DON270957,Ronald,Jones,ronald_jones99@gmail.com,Columbus,3,48.13,2.53,432,0.23,93.25,29.19,8,90,6,0
DON928411,Michelle,Perez,michelle_perez10@outlook.com,Los Angeles,3,85.8,3.0,181,0.48,214.64,41.77,6,100,2,0
DON256976,Emily,Gonzalez,emily_gonzalez9@icloud.com,Chicago,4,173.1,4.0,283,0.33,502.11,102.76,5,52,15,1
DON684915,Helen,Williams,helenwilliams43@icloud.com,Nashville,4,38.63,4.0,327,0.0,67.75,11.62,8,14,5,0
DON631828,Donald,Moore,donald_moore4@hotmail.com,Portland,33,254.85,33.0,8,0.81,756.69,134.11,8,36,3,1
DON725860,Donna,Adams,donna_adams24@yahoo.com,Los Angeles,3,63.51,3.0,273,0.4,118.95,30.87,6,31,6,1
DON646432,Matthew,Rodriguez,matthewrodriguez45@outlook.com,San Diego,2,96.2,2.0,168,0.47,203.89,39.84,10,15,5,1
DON179730,Anthony,Williams,anthony_williams47@yahoo.com,Portland,23,468.91,23.0,8,0.71,1024.93,301.38,2,49,14,1
DON499254,Kenneth,Martin,kennethmartin5@icloud.com,San Francisco,25,399.82,25.0,31,0.91,635.84,194.05,1,33,8,1
DON263857,Linda,Torres,linda_torres37@hotmail.com,Jacksonville,1,31.68,1.0,189,0.26,70.46,19.69,2,28,9,0
DON996807,Emily,Hall,emily_hall71@yahoo.com,San Jose,2,92.84,1.82,401,0.35,277.94,51.39,0,62,3,0
DON334157,Kenneth,Lopez,kennethlopez53@icloud.com,Boston,11,144.6,11.0,101,0.66,393.78,96.37,7,57,8,1
DON950497,Matthew,King,matthew_king16@outlook.com,Memphis,4,24.05,3.18,459,0.02,59.57,12.06,7,6,1,0
DON263041,Betty,Thompson,betty_thompson16@outlook.com,Charlotte,9,173.59,9.0,139,0.75,295.79,117.74,0,67,6,1
DON484896,Brian,Wilson,brian_wilson6@yahoo.com,Jacksonville,1,13.26,1.0,348,0.29,21.16,5.28,5,75,6,0
DON105601,Elizabeth,Gonzalez,elizabeth_gonzalez24@email.com,Philadelphia,2,66.2,1.78,411,0.23,157.26,40.31,9,57,4,0
DON930912,Lisa,Scott,lisascott92@hotmail.com,Detroit,3,29.4,2.25,486,0.01,61.79,10.42,0,21,10,0
DON334671,Sandra,Walker,sandrawalker21@hotmail.com,Dallas,3,109.66,3.0,154,0.4,240.46,53.21,10,16,13,1
DON146379,Paul,Martin,paulmartin33@icloud.com,San Jose,12,178.33,12.0,97,0.57,518.29,122.33,6,36,0,1
DON274136,Michelle,White,michelle.white2@icloud.com,Denver,20,780.24,20.0,31,0.97,2007.13,323.07,1,23,8,1
DON171766,Jessica,Mitchell,jessicamitchell84@gmail.com,Nashville,29,279.78,29.0,52,0.89,836.0,120.72,4,18,2,1
DON701710,Thomas,Smith,thomas.smith75@gmail.com,Memphis,29,324.65,29.0,18,0.84,730.73,215.7,5,66,4,1
DON628918,Elizabeth,Walker,elizabethwalker66@yahoo.com,New York,2,69.33,1.13,645,0.27,170.41,25.33,3,43,9,0
DON830026,George,Martinez,georgemartinez45@hotmail.com,San Jose,11,123.09,11.0,118,0.51,354.91,65.31,5,73,4,1
DON677577,Brian,Nguyen,brian.nguyen24@gmail.com,San Antonio,1,85.45,1.0,47,0.02,142.39,33.68,4,16,5,1
DON123984,Helen,Flores,helen.flores43@outlook.com,Los Angeles,3,22.27,2.65,413,0.15,42.06,11.19,5,78,2,0
DON449603,Emily,Martin,emily_martin77@outlook.com,Las Vegas,2,58.87,2.0,191,0.0,147.77,30.37,1,54,10,0
DON483711,Betty,Wilson,betty_wilson1@outlook.com,Indianapolis,2,101.84,1.1,664,0.37,202.76,42.56,1,85,7,0
DON740240,Barbara,Anderson,barbaraanderson40@outlook.com,Fort Worth,5,48.34,5.0,236,0.26,107.79,19.92,4,71,15,0
DON926162,Timothy,Lewis,timothylewis17@hotmail.com,Austin,15,432.83,15.0,12,0.87,660.5,174.38,7,29,14,1
DON671363,Paul,Anderson,paul_anderson27@hotmail.com,San Jose,2,52.42,2.0,170,0.13,115.66,30.11,3,9,11,1
DON857397,Robert,Clark,robert.clark91@outlook.com,New York,1,93.96,1.0,72,0.4,264.5,51.86,4,98,8,0
DON555634,Jessica,Lee,jessicalee89@yahoo.com,Jacksonville,1,184.16,1.0,49,0.18,487.82,62.49,10,3,12,1
DON604023,Ashley,Wright,ashleywright48@hotmail.com,Phoenix,2,73.88,2.0,319,0.47,164.93,42.34,10,24,1,1
DON200221,James,Hill,jameshill3@icloud.com,Seattle,3,40.12,3.0,218,0.18,67.82,24.96,9,0,13,0
DON496126,William,Torres,william.torres8@hotmail.com,Boston,13,41.03,13.0,107,0.58,64.42,14.52,1,9,1,1
DON192688,Edward,Lopez,edwardlopez83@hotmail.com,Philadelphia,3,165.92,3.0,156,0.32,493.33,84.85,7,46,7,0
DON138451,Mary,Taylor,marytaylor96@yahoo.com,Fort Worth,23,356.63,23.0,18,0.85,627.53,202.99,3,39,3,1
DON157066,Kevin,Perez,kevinperez66@gmail.com,Houston,48,529.15,48.0,55,0.71,891.92,290.04,3,59,2,1
DON293500,Brian,Gonzalez,brian.gonzalez16@icloud.com,Jacksonville,7,192.96,7.0,113,0.77,367.56,108.2,0,9,10,1
DON296585,Donna,Garcia,donna_garcia40@yahoo.com,New York,3,43.8,3.0,267,0.17,89.41,20.28,10,26,12,0
DON275575,Kevin,Walker,kevin_walker11@yahoo.com,Portland,24,994.51,24.0,18,0.73,2856.05,577.92,2,18,4,1
DON855592,Emily,King,emily.king55@gmail.com,Detroit,5,52.98,5.0,136,0.75,133.0,29.46,1,14,14,1
DON165995,William,Sanchez,william.sanchez1@yahoo.com,Philadelphia,5,87.23,5.0,363,0.45,179.66,27.69,5,3,11,1
DON734562,Nancy,Nelson,nancynelson73@icloud.com,Charlotte,4,164.9,4.0,275,0.33,267.25,96.2,10,92,11,1
DON167608,Sandra,Lee,sandra_lee2@outlook.com,Austin,2,24.79,2.0,223,0.11,39.48,10.3,10,17,4,0
DON308018,Michelle,Nelson,michelle.nelson81@gmail.com,Portland,6,164.4,6.0,95,0.65,343.55,108.82,2,70,4,1
DON534990,David,Wright,david.wright10@outlook.com,Portland,1,21.31,1.0,346,0.03,32.68,12.07,5,91,5,0
DON179081,Patricia,Hill,patricia.hill34@gmail.com,Denver,3,101.53,3.0,112,0.26,162.64,37.65,10,57,2,1
DON120142,Dorothy,Garcia,dorothygarcia52@hotmail.com,Memphis,1,45.46,1.0,299,0.31,120.54,30.52,3,89,14,0
DON298855,John,Wilson,johnwilson57@email.com,Charlotte,1,267.81,1.0,27,0.12,493.52,117.92,8,27,2,1
DON453699,Charles,Thomas,charles_thomas44@icloud.com,Austin,2,105.81,2.0,102,0.18,162.44,45.52,5,30,15,1
DON644983,Steven,Taylor,steven.taylor91@outlook.com,Detroit,4,170.36,4.0,351,0.56,427.63,55.8,4,76,14,0
DON668223,Robert,Wilson,robertwilson10@gmail.com,New York,4,14.08,4.0,245,0.29,35.54,7.5,8,13,5,0
DON546510,Barbara,Brown,barbarabrown35@hotmail.com,Los Angeles,2,56.26,2.0,104,0.47,164.19,25.9,4,1,0,0
DON844703,Carol,Lopez,carollopez49@outlook.com,Columbus,13,343.4,13.0,116,0.68,980.33,229.46,10,29,4,1
DON785517,Barbara,Baker,barbarabaker63@yahoo.com,Memphis,2,43.1,1.49,490,0.23,102.11,24.39,10,64,11,0
DON736243,Jason,Garcia,jason_garcia46@email.com,Houston,4,15.43,4.0,256,0.27,42.43,8.92,6,59,2,0
DON662165,Mark,Harris,mark.harris44@icloud.com,Detroit,4,23.75,4.0,338,0.18,69.7,16.61,8,70,13,0
DON708493,Sarah,Williams,sarah.williams85@email.com,Seattle,5,50.12,5.0,280,0.48,85.62,21.11,1,91,0,1
DON587495,Donald,Allen,donald_allen71@icloud.com,Denver,11,51.92,11.0,104,0.65,148.48,25.14,3,34,0,1
DON776120,Mark,Gonzalez,mark_gonzalez54@gmail.com,San Diego,5,187.46,5.0,41,0.55,479.28,71.71,5,28,9,1
DON846546,Betty,Adams,betty.adams18@hotmail.com,Charlotte,2,164.08,2.0,295,0.37,413.11,83.63,3,38,4,0
DON979658,Charles,Perez,charles_perez47@email.com,Las Vegas,1,151.57,1.0,273,0.46,450.38,104.79,9,47,12,1
DON504550,Matthew,Nelson,matthew.nelson56@hotmail.com,San Antonio,4,115.59,2.72,536,0.32,317.33,62.18,6,71,1,0
DON171034,Mark,Rodriguez,mark_rodriguez51@icloud.com,Las Vegas,12,123.31,12.0,92,0.53,339.32,42.42,3,74,13,1
DON414911,Ronald,Nelson,ronald.nelson84@gmail.com,Philadelphia,4,34.82,4.0,302,0.13,53.49,22.99,5,41,0,0
DON100479,Jessica,Jackson,jessicajackson91@outlook.com,Jacksonville,3,175.85,3.0,71,0.17,333.73,110.57,3,86,0,1
DON921712,Patricia,Rivera,patriciarivera19@hotmail.com,Phoenix,2,18.27,2.0,357,0.12,48.79,12.59,7,94,5,0
DON382024,Daniel,Thomas,daniel.thomas80@gmail.com,Houston,4,18.74,3.61,404,0.05,42.42,10.97,5,44,12,0
DON579832,Nancy,Johnson,nancy_johnson1@gmail.com,Austin,5,19.25,2.74,665,0.25,46.66,10.29,7,50,6,0
DON345602,Mary,Wright,marywright87@gmail.com,Indianapolis,1,32.59,1.0,290,0.3,59.55,11.25,0,5,9,0
DON644102,Brian,Harris,brian_harris66@outlook.com,Houston,3,53.4,2.16,506,0.27,110.66,18.94,8,43,6,0
DON537178,Elizabeth,Hill,elizabethhill91@hotmail.com,Nashville,2,21.39,2.0,294,0.45,57.01,13.13,9,93,3,1
DON116215,George,Anderson,georgeanderson82@gmail.com,Boston,3,37.92,3.0,47,0.06,61.0,24.01,6,94,9,0
DON936080,Susan,Taylor,susan.taylor21@outlook.com,Memphis,3,73.76,3.0,353,0.34,190.56,28.93,6,5,14,0
DON302985,John,Baker,john_baker74@yahoo.com,Denver,4,50.08,2.47,591,0.26,129.42,17.42,5,10,13,0
DON126662,Lisa,Rodriguez,lisa_rodriguez45@outlook.com,Columbus,33,854.23,33.0,7,0.93,1320.75,430.86,3,65,12,1
DON214248,Robert,Brown,robertbrown16@yahoo.com,Portland,6,141.08,6.0,58,0.54,289.94,69.58,8,57,0,1
DON335579,Kimberly,Thomas,kimberly.thomas24@email.com,Portland,12,74.16,12.0,119,0.76,151.94,36.98,8,11,15,1
DON594016,Anthony,Walker,anthonywalker83@email.com,Phoenix,26,776.45,26.0,37,0.82,1561.29,401.33,8,78,14,1
DON889952,Brian,Jackson,brian.jackson71@yahoo.com,Dallas,2,13.11,2.0,240,0.05,29.94,4.1,1,20,12,0
DON818640,Susan,Anderson,susananderson68@icloud.com,Dallas,41,733.72,41.0,26,0.88,1418.15,459.74,2,39,3,1
DON628799,David,Wright,david.wright94@outlook.com,Dallas,31,229.09,31.0,10,0.95,347.4,96.27,5,48,0,1
DON588475,Charles,Robinson,charles_robinson3@outlook.com,San Francisco,1,207.86,1.0,17,0.14,404.7,106.54,3,12,6,1
DON665757,Thomas,Harris,thomasharris71@yahoo.com,Charlotte,2,121.03,2.0,113,0.56,291.92,73.05,2,40,4,1
DON559780,Nancy,Flores,nancyflores37@hotmail.com,Indianapolis,3,51.58,3.0,180,0.59,143.09,27.51,6,15,12,0
DON445012,Helen,Smith,helensmith72@email.com,Las Vegas,22,1020.77,22.0,24,0.79,1928.65,540.24,1,96,2,1
DON174444,Carol,Robinson,carol.robinson45@gmail.com,Houston,5,31.96,5.0,134,0.68,64.72,17.38,2,14,8,1
DON155358,Mark,Davis,markdavis39@yahoo.com,San Diego,32,534.87,32.0,15,0.81,990.92,174.64,9,25,9,1
DON589558,Donald,Adams,donald.adams91@icloud.com,New York,10,162.93,10.0,166,0.54,270.42,103.39,7,22,7,1
DON705021,Paul,Baker,paul_baker24@icloud.com,San Francisco,4,21.2,4.0,213,0.09,49.75,10.47,10,99,1,0
DON825503,Paul,Baker,paul_baker88@outlook.com,Dallas,4,34.91,4.0,221,0.03,71.87,19.53,6,23,4,0
DON405981,Dorothy,Lewis,dorothy.lewis40@gmail.com,Fort Worth,25,962.67,25.0,16,0.89,2084.6,611.06,4,16,7,1
DON631634,Jane,Williams,janewilliams28@yahoo.com,Dallas,8,151.86,8.0,76,0.69,276.2,52.52,6,70,12,1
DON671834,James,Smith,james.smith56@outlook.com,San Jose,1,65.8,1.0,336,0.44,104.37,29.27,6,81,13,0
DON952263,Betty,Perez,bettyperez17@outlook.com,Charlotte,5,193.98,5.0,177,0.33,390.12,65.79,1,79,10,1
DON820247,Elizabeth,Thomas,elizabeth.thomas18@gmail.com,Las Vegas,2,31.6,2.0,212,0.19,55.35,19.37,6,94,12,0
DON611212,Kenneth,Lee,kenneth_lee35@gmail.com,Austin,2,30.18,2.0,200,0.23,67.51,20.74,2,94,11,0
DON406713,Edward,Jackson,edward.jackson68@yahoo.com,Nashville,24,131.43,24.0,58,0.8,225.0,63.03,10,34,14,1
DON974285,James,Gonzalez,james_gonzalez1@yahoo.com,Denver,2,14.96,2.0,215,0.16,40.74,10.15,3,73,11,0
DON151469,Donald,Martin,donaldmartin52@outlook.com,Denver,23,752.93,23.0,46,0.72,2008.43,383.42,5,95,5,1
DON981246,Ashley,Young,ashley.young89@hotmail.com,Las Vegas,4,38.39,4.0,322,0.3,113.55,25.47,8,23,2,0
DON515440,Daniel,Smith,danielsmith31@gmail.com,Austin,3,108.29,3.0,127,0.34,231.05,55.24,5,4,2,1
DON693553,Kenneth,Clark,kenneth.clark21@hotmail.com,San Jose,4,77.52,4.0,122,0.31,159.51,47.04,1,0,1,0
DON767778,Ashley,Harris,ashleyharris63@gmail.com,Indianapolis,44,587.48,44.0,49,0.89,1498.22,267.55,3,93,0,1
DON680295,Margaret,Flores,margaret.flores56@icloud.com,Detroit,1,49.12,1.0,101,0.37,114.0,18.77,6,85,14,0
DON810736,Margaret,Lewis,margaretlewis24@email.com,San Antonio,4,64.43,4.0,274,0.34,97.3,41.6,10,91,11,0
DON986153,David,Smith,david.smith26@gmail.com,Boston,2,41.81,2.0,360,0.33,67.5,15.92,9,46,11,0
DON420784,Betty,Lopez,betty_lopez9@yahoo.com,Dallas,15,552.85,15.0,19,0.81,887.44,272.89,1,70,14,1
DON141672,James,Jackson,jamesjackson89@icloud.com,Portland,1,49.68,1.0,91,0.02,93.68,28.25,6,95,12,0
DON592250,Edward,Thompson,edward_thompson36@yahoo.com,Austin,4,89.78,4.0,306,0.12,159.04,45.26,4,9,7,0
DON220534,Mark,Thompson,mark_thompson47@gmail.com,Seattle,4,104.73,4.0,195,0.53,184.48,58.1,5,77,12,1
DON865668,Jane,Mitchell,jane.mitchell80@hotmail.com,Nashville,30,271.5,30.0,3,0.79,781.49,121.93,5,28,8,1
DON368646,Emily,Gonzalez,emily.gonzalez97@gmail.com,Portland,3,100.24,2.08,527,0.29,293.04,70.16,3,79,10,0
DON931020,Charles,Garcia,charlesgarcia48@yahoo.com,New York,9,134.64,9.0,153,0.74,243.69,49.83,7,58,11,1
DON321468,Ronald,Anderson,ronald.anderson97@email.com,Charlotte,1,32.74,0.77,472,0.12,58.48,13.93,5,35,8,0
DON164682,Donald,Wilson,donald_wilson47@icloud.com,New York,2,73.44,1.39,526,0.1,186.08,24.41,8,8,9,0
DON256571,Sarah,Lopez,sarahlopez16@yahoo.com,Indianapolis,2,173.85,2.0,210,0.53,344.25,108.92,0,62,1,0
DON987534,Betty,Lewis,betty.lewis82@email.com,Jacksonville,3,10.57,2.49,439,0.15,30.34,5.6,1,50,6,0
DON147273,William,Miller,williammiller67@outlook.com,Phoenix,12,215.04,12.0,80,0.74,450.82,126.25,0,66,0,1
DON737717,Mark,Moore,markmoore67@yahoo.com,Nashville,3,128.84,3.0,92,0.36,246.35,86.48,2,80,11,0
DON742785,Donna,Rodriguez,donnarodriguez12@hotmail.com,Las Vegas,16,144.59,16.0,17,0.78,233.2,45.24,10,77,11,1
DON621603,Patricia,Davis,patricia_davis38@email.com,Nashville,2,98.95,2.0,182,0.44,190.4,46.85,1,92,14,0
DON227239,Margaret,Young,margaret.young88@hotmail.com,Houston,31,895.82,31.0,37,0.96,1542.44,546.59,6,64,5,1
DON422690,Barbara,Sanchez,barbara.sanchez18@outlook.com,Houston,32,762.36,32.0,50,0.81,1422.43,361.56,6,100,12,1
DON639751,Nancy,Rivera,nancy.rivera77@email.com,Austin,19,376.01,19.0,40,0.77,625.85,231.83,4,4,1,1
DON947922,David,Ramirez,david.ramirez19@gmail.com,New York,33,1456.49,33.0,51,0.91,2944.67,686.48,7,95,10,1
DON881594,Joshua,Jackson,joshuajackson27@email.com,San Francisco,4,35.99,3.94,371,0.2,62.48,16.16,9,85,8,0
DON266969,Karen,Johnson,karenjohnson19@yahoo.com,Memphis,3,19.96,3.0,282,0.42,48.86,11.08,9,2,12,1
DON170770,Charles,Wilson,charleswilson2@email.com,San Antonio,3,276.42,3.0,230,0.03,757.31,85.06,9,36,1,0
DON608923,Karen,White,karenwhite84@yahoo.com,San Diego,5,52.31,5.0,247,0.23,80.7,16.12,1,30,8,0
DON219749,Steven,Baker,steven.baker91@outlook.com,Jacksonville,12,154.31,12.0,169,0.59,306.51,51.42,4,7,4,1
DON752661,Mark,Flores,markflores25@hotmail.com,Dallas,22,496.34,22.0,29,0.76,857.2,347.28,4,34,2,1
DON374212,Emily,Hall,emilyhall65@email.com,Boston,11,143.18,11.0,69,0.71,306.2,59.99,1,6,13,1
DON194952,Kevin,Brown,kevinbrown97@outlook.com,Los Angeles,3,52.16,3.0,6,0.47,153.34,21.07,1,93,6,1
DON162709,Elizabeth,Hall,elizabeth_hall76@email.com,Austin,2,12.36,2.0,358,0.04,30.61,6.35,0,30,6,0
DON459990,Sandra,Nelson,sandra.nelson70@outlook.com,Seattle,3,63.2,3.0,205,0.33,103.32,38.04,3,27,1,0
DON252795,Charles,Harris,charles.harris34@hotmail.com,Phoenix,8,132.3,8.0,118,0.51,294.39,45.29,8,53,0,1
DON960971,John,Mitchell,john.mitchell5@icloud.com,Columbus,13,281.72,13.0,35,0.78,534.77,109.42,1,18,6,1
DON420813,Betty,Taylor,bettytaylor61@hotmail.com,Houston,3,178.14,3.0,157,0.02,338.27,90.61,8,70,3,1
DON883777,Carol,Campbell,carol_campbell75@icloud.com,San Jose,3,125.46,3.0,114,0.33,306.12,78.9,8,98,9,1
DON382567,Donald,Garcia,donald_garcia45@outlook.com,Charlotte,47,461.23,47.0,44,0.73,701.9,239.78,7,85,11,1
DON561729,Timothy,Harris,timothy.harris48@gmail.com,Phoenix,3,70.09,3.0,121,0.19,155.83,21.88,5,47,1,1
DON427335,Dorothy,Smith,dorothysmith74@outlook.com,Memphis,5,26.71,5.0,206,0.59,71.22,9.08,3,90,7,1
DON569563,Kimberly,Martin,kimberly.martin61@yahoo.com,Nashville,3,26.5,3.0,235,0.28,69.91,12.78,9,12,1,0
DON966457,Anthony,Hall,anthony.hall37@yahoo.com,Phoenix,4,62.52,4.0,207,0.39,148.01,32.18,4,5,1,0
DON316933,Daniel,Thomas,daniel.thomas95@outlook.com,Jacksonville,2,25.75,1.5,488,0.08,74.33,13.34,3,43,12,0
DON831316,Ronald,Lewis,ronald.lewis64@icloud.com,San Francisco,10,173.43,10.0,153,0.62,274.99,113.42,2,18,5,1
DON570347,Anthony,Torres,anthonytorres32@email.com,Seattle,2,29.65,1.94,377,0.4,52.07,19.88,0,22,12,0
DON698557,Helen,Hill,helen_hill40@email.com,Los Angeles,4,33.12,3.06,477,0.14,96.81,16.68,10,35,6,0
DON875212,Charles,Williams,charles.williams19@icloud.com,Nashville,2,73.75,2.0,126,0.11,122.39,29.15,3,26,12,0
DON782011,David,Davis,daviddavis78@gmail.com,San Francisco,3,56.38,3.0,287,0.01,95.41,35.94,10,42,13,0
DON682845,Jason,Thompson,jason.thompson71@hotmail.com,Nashville,45,953.36,45.0,30,0.79,2813.94,357.13,2,88,13,1
DON536561,Daniel,Williams,daniel.williams80@gmail.com,Nashville,2,27.76,2.0,341,0.3,75.2,13.88,3,50,5,0
DON576758,Emily,Mitchell,emily_mitchell90@hotmail.com,Philadelphia,2,35.87,2.0,212,0.18,96.01,18.18,0,92,10,0
DON298078,Andrew,Wright,andrew_wright18@outlook.com,Chicago,1,65.21,1.0,106,0.04,116.73,28.01,6,64,3,0
DON599524,Susan,Rodriguez,susan_rodriguez15@icloud.com,Las Vegas,9,83.48,9.0,120,0.79,154.78,25.64,8,47,2,1
DON614230,Ashley,Johnson,ashley.johnson49@icloud.com,Dallas,4,98.06,2.28,641,0.17,267.46,57.79,10,82,10,0
DON361781,Linda,King,lindaking97@outlook.com,San Diego,3,84.6,3.0,328,0.32,137.25,49.82,9,21,14,0
DON522152,Brian,Nelson,brian_nelson98@icloud.com,Denver,2,15.67,2.0,347,0.27,46.05,8.5,9,41,10,0
DON629674,Steven,Adams,stevenadams73@icloud.com,Nashville,6,445.59,6.0,59,0.55,784.1,274.15,5,61,10,1
DON997835,Brian,Anderson,briananderson10@gmail.com,Fort Worth,4,33.4,4.0,338,0.4,72.92,14.75,4,40,5,0
DON750986,George,Moore,georgemoore63@icloud.com,Portland,16,1395.27,16.0,52,0.88,2359.18,582.13,4,82,13,1
DON522660,Patricia,Nelson,patricia.nelson76@icloud.com,Las Vegas,1,82.69,1.0,302,0.26,172.04,28.6,9,93,2,0
DON322855,Edward,Smith,edward_smith2@yahoo.com,Denver,2,88.11,2.0,344,0.54,147.53,46.74,8,92,4,0
DON656512,Matthew,Baker,matthew.baker57@outlook.com,Boston,24,441.67,24.0,25,0.87,739.52,225.56,7,42,12,1
DON487828,Steven,Jones,steven_jones15@email.com,Denver,45,1012.87,45.0,34,0.8,1980.85,511.7,5,34,7,1
DON543456,Daniel,Jackson,danieljackson91@email.com,Houston,22,244.17,22.0,53,0.81,445.01,148.48,9,53,10,1
DON854472,Sarah,Wright,sarahwright19@outlook.com,Los Angeles,18,443.57,18.0,43,0.87,812.05,140.22,2,20,5,1
DON989184,William,Jackson,william.jackson46@icloud.com,Dallas,40,393.58,40.0,38,0.75,836.55,171.55,9,86,0,1
DON660491,Carol,Taylor,caroltaylor70@outlook.com,Detroit,2,36.89,2.0,219,0.1,84.05,25.49,10,96,6,0
DON548561,Sandra,Johnson,sandra.johnson12@yahoo.com,Philadelphia,5,51.73,3.19,572,0.16,151.09,17.52,6,56,5,0
DON380324,Karen,Lopez,karen_lopez39@outlook.com,Las Vegas,5,48.94,4.33,421,0.1,133.79,30.78,8,57,0,0
DON977072,Mark,Nguyen,mark_nguyen2@icloud.com,Memphis,37,1109.87,37.0,13,0.81,2160.53,671.97,8,50,6,1
DON607917,Dorothy,Adams,dorothy.adams45@hotmail.com,Jacksonville,4,21.72,4.0,230,0.16,64.56,9.59,6,78,11,0
DON420091,Linda,Williams,lindawilliams94@yahoo.com,San Diego,1,41.21,0.76,480,0.11,102.99,22.44,1,1,11,0
DON268746,James,Brown,jamesbrown63@email.com,Houston,3,66.47,3.0,185,0.35,169.27,32.12,1,91,2,1
DON376657,Susan,Mitchell,susan_mitchell89@yahoo.com,San Jose,1,32.92,1.0,200,0.23,98.18,16.64,3,71,10,0
DON219252,Barbara,Williams,barbara_williams67@outlook.com,Detroit,49,730.37,49.0,31,0.76,1861.24,476.6,1,29,3,1
DON547012,Anthony,Sanchez,anthonysanchez74@gmail.com,Indianapolis,2,25.07,2.0,279,0.02,69.42,16.93,7,14,11,0
DON371495,Jason,Scott,jasonscott10@hotmail.com,Denver,45,112.38,45.0,6,0.73,318.38,42.41,7,61,13,1
DON881037,Kenneth,Baker,kenneth_baker88@hotmail.com,New York,12,161.45,12.0,65,0.8,445.0,78.98,4,54,8,1
DON240574,Dorothy,King,dorothy.king95@outlook.com,Philadelphia,3,66.34,1.61,682,0.38,168.69,29.71,8,55,4,0
DON743964,Charles,Hernandez,charleshernandez65@yahoo.com,Charlotte,3,15.01,3.0,21,0.4,43.87,5.72,5,88,7,1
DON944705,Ronald,Jackson,ronald_jackson7@hotmail.com,Phoenix,2,18.64,2.0,192,0.32,49.35,9.44,7,98,11,0
DON449571,Sarah,Campbell,sarahcampbell95@yahoo.com,Dallas,3,11.61,3.0,351,0.11,29.51,7.04,9,58,13,0
DON172638,William,Anderson,william_anderson52@hotmail.com,Charlotte,1,109.17,1.0,221,0.0,249.96,35.95,8,54,1,0
DON636513,Betty,Jones,betty.jones21@email.com,Austin,1,21.51,1.0,201,0.1,40.95,7.09,3,79,8,0
DON880926,Betty,King,bettyking24@email.com,Austin,1,22.98,0.93,392,0.14,47.31,9.21,1,0,14,0
DON153963,Emma,Wright,emma_wright70@gmail.com,Charlotte,3,34.26,3.0,355,0.25,96.03,17.49,4,16,15,0
DON225036,Matthew,White,matthewwhite68@email.com,Dallas,12,132.78,12.0,63,0.71,253.84,46.39,10,18,3,1
DON348407,Kenneth,Taylor,kenneth_taylor84@gmail.com,Boston,3,105.58,3.0,4,0.27,261.36,55.53,9,65,0,1
DON164655,Mark,Nguyen,marknguyen44@email.com,Fort Worth,3,65.99,3.0,281,0.4,145.99,44.66,1,8,13,0
DON156360,James,Thompson,james_thompson45@gmail.com,Houston,2,49.9,2.0,222,0.39,99.54,30.59,4,65,9,0
DON501810,William,Green,williamgreen8@yahoo.com,Seattle,3,134.66,3.0,230,0.23,338.68,89.41,5,20,1,0
DON237662,James,Hernandez,jameshernandez29@hotmail.com,San Francisco,2,44.01,2.0,164,0.57,102.51,26.42,2,33,10,1
DON777707,David,Walker,davidwalker99@hotmail.com,Philadelphia,27,1111.13,27.0,19,0.87,1845.71,703.77,2,25,5,1
DON156349,Daniel,Hill,daniel_hill92@email.com,Nashville,4,12.71,3.02,484,0.28,26.84,8.23,10,18,9,0
DON489778,Matthew,Harris,matthewharris68@outlook.com,Houston,2,106.48,2.0,247,0.39,270.77,37.12,5,1,9,1
DON726734,Jennifer,Scott,jennifer_scott78@outlook.com,Dallas,2,27.48,2.0,295,0.2,57.02,18.59,10,36,6,0
DON766104,David,Moore,davidmoore15@outlook.com,Indianapolis,36,855.43,36.0,32,0.9,2085.23,420.75,1,61,7,1
DON352042,Daniel,Taylor,danieltaylor47@outlook.com,Phoenix,22,172.48,22.0,7,0.83,313.71,84.4,2,63,11,1
DON701594,Donna,Davis,donnadavis30@yahoo.com,Jacksonville,2,23.03,2.0,336,0.23,44.74,12.23,7,97,15,0
